Model,best_params
Random Forest,"{'smooth': 0.5, 'n_estimators': 300, 'max_depth': 30, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
XGBoost,"{'smooth': 1.0, 'n_estimators': 400, 'max_depth': 11, 'learning_rate': np.float64(0.04967544833360702), 'min_child_weight': 1, 'subsample': np.float64(0.9312046164688932), 'colsample_bytree': np.float64(0.8433246936498362), 'gamma': np.float64(0.16188857889692698), 'reg_alpha': np.float64(0.00017670730868040943), 'reg_lambda': np.float64(0.0015962672977415787), 'scale_pos_weight': 1}"
