Model,accuracy,precision,recall,f1_score,auc
Random Forest,0.9223939291529694,0.9224017478461847,0.9223939291529694,0.9223676091592944,0.9835539477504486
XGBoost,0.9262957387323728,0.9312334217506631,0.911587147030185,0.9213055601115304,0.9848584069295304
